Submitted job with ID: 43340.master_ubss1
[gkh] iter=54 total_blocks=25 lens=[976,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=55 total_blocks=25 lens=[976,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=56 total_blocks=26 lens=[975,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=57 total_blocks=26 lens=[975,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=58 total_blocks=27 lens=[972,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=2
[gkh] iter=59 total_blocks=28 lens=[972,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=2
[gkh] iter=60 total_blocks=29 lens=[972,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=61 total_blocks=30 lens=[971,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=62 total_blocks=30 lens=[971,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=63 total_blocks=31 lens=[970,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=64 total_blocks=32 lens=[969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=65 total_blocks=33 lens=[968,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=66 total_blocks=33 lens=[968,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=67 total_blocks=34 lens=[967,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=68 total_blocks=34 lens=[967,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=69 total_blocks=35 lens=[966,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
